Caller,Event,Receiver,Date,
341265,Pick-up,0,3/12/2019 2:13:08 PM,
341265,Hang-up,0,3/12/2019 2:13:09 PM,
341265,Pick-up,567812,3/12/2019 2:13:09 PM,
341265,Dialling,567812,3/12/2019 2:13:10 PM,
341265,Call Established,567812,3/12/2019 2:13:11 PM,
341265,Call End,567812,3/12/2019 2:25:12 PM,
341265,Hang-up,567812,3/12/2019 2:27:13 PM,
341265,Pick-up,502373,3/12/2019 2:13:09 PM,
341265,Dialling,502373,3/12/2019 2:13:10 PM,
341265,Call Established,502373,3/12/2019 2:14:11 PM,
341265,Pick-up,0,3/12/2019 2:13:08 PM,
341265,Hang-up,0,3/12/2019 2:13:09 PM,
341265,Pick-up,567812,3/12/2019 2:13:09 PM,
341265,Dialling,567812,3/12/2019 2:13:10 PM,
341265,Call Established,567812,3/12/2019 2:13:11 PM,
341265,Call End,567812,3/12/2019 2:25:12 PM,
341265,Hang-up,567812,3/12/2019 2:27:13 PM,
341265,Pick-up,502373,3/12/2019 2:13:09 PM,
341265,Dialling,502373,3/12/2019 2:13:10 PM,
341265,Call Established,502373,3/12/2019 2:14:11 PM,
341265,Pick-up,0,3/12/2019 2:13:08 PM,
341265,Hang-up,0,3/12/2019 2:13:09 PM,
341265,Pick-up,567812,3/12/2019 2:13:09 PM,
341265,Dialling,567812,3/12/2019 2:13:10 PM,
341265,Call Established,567812,3/12/2019 2:13:11 PM,
341265,Call End,567812,3/12/2019 2:25:12 PM,
341265,Hang-up,567812,3/12/2019 2:27:13 PM,
341265,Pick-up,502373,3/12/2019 2:13:09 PM,
341265,Dialling,502373,3/12/2019 2:13:10 PM,
341265,Call Established,502373,3/12/2019 2:14:11 PM,
341265,Pick-up,0,3/12/2019 2:13:08 PM,
341265,Hang-up,0,3/12/2019 2:13:09 PM,
341265,Pick-up,567812,3/12/2019 2:13:09 PM,
341265,Dialling,567812,3/12/2019 2:13:10 PM,
341265,Call Established,567812,3/12/2019 2:13:11 PM,
341265,Call End,567812,3/12/2019 2:25:12 PM,
341265,Hang-up,567812,3/12/2019 2:27:13 PM,
341265,Pick-up,502373,3/12/2019 2:13:09 PM,
341265,Dialling,502373,3/12/2019 2:13:10 PM,
341265,Call Established,502373,3/12/2019 2:14:11 PM,
341265,Pick-up,0,3/12/2019 2:13:08 PM,
341265,Hang-up,0,3/12/2019 2:13:09 PM,
341265,Pick-up,567812,3/12/2019 2:13:09 PM,
341265,Dialling,567812,3/12/2019 2:13:10 PM,
341265,Call Established,567812,3/12/2019 2:13:11 PM,
341265,Call End,567812,3/12/2019 2:25:12 PM,
341265,Hang-up,567812,3/12/2019 2:27:13 PM,
341265,Pick-up,502373,3/12/2019 2:13:09 PM,
341265,Dialling,502373,3/12/2019 2:13:10 PM,
341265,Call Established,502373,3/12/2019 2:14:11 PM,
341265,Pick-up,0,3/12/2019 2:13:08 PM,
341265,Hang-up,0,3/12/2019 2:13:09 PM,
341265,Pick-up,567812,3/12/2019 2:13:09 PM,
341265,Dialling,567812,3/12/2019 2:13:10 PM,
341265,Call Established,567812,3/12/2019 2:13:11 PM,
341265,Call End,567812,3/12/2019 2:25:12 PM,
341265,Hang-up,567812,3/12/2019 2:27:13 PM,
341265,Pick-up,502373,3/12/2019 2:13:09 PM,
341265,Dialling,502373,3/12/2019 2:13:10 PM,
341265,Call Established,502373,3/12/2019 2:14:11 PM,
341265,Pick-up,0,3/12/2019 2:13:08 PM,
341265,Hang-up,0,3/12/2019 2:13:09 PM,
341265,Pick-up,567812,3/12/2019 2:13:09 PM,
341265,Dialling,567812,3/12/2019 2:13:10 PM,
341265,Call Established,567812,3/12/2019 2:13:11 PM,
341265,Call End,567812,3/12/2019 2:25:12 PM,
341265,Hang-up,567812,3/12/2019 2:27:13 PM,
341265,Pick-up,502373,3/12/2019 2:13:09 PM,
341265,Dialling,502373,3/12/2019 2:13:10 PM,
341265,Call Established,502373,3/12/2019 2:14:11 PM,
